	random	noun/verb	location	#1 String	#2 String	label
0	optimization	N	2-3	the simultaneous optimization of growth and profitability	to promote the optimization and diversification of agricultural products	T
1	base	N	1-6	the base of the triangle	the attack wiped out our forward bases	F
2	make	V	4-6	How much do you make a month in your new job ?	You have to spend money to make money !	T
3	shake	V	0-1	shake one 's head	She shook her finger at the naughty students	T
4	face	N	4-7	They climbed the north face of the mountain .	She wanted to wipe him off the face of the earth .	T
7	hold	V	6-2	To carry well , i.e. to hold the head high , with arching neck	This theory holds for all irrational numbers	F
8	charge	V	3-2	I need to charge my car battery	He came charging into my office	F
9	back	N	6-6	he wrote the date on the back of the photograph	I hung the clothes on the back of the door .	T
10	grow	V	5-4	In these forests , mushrooms grow under the trees	her hair does n't grow much anymore	T
12	gob	N	4-5	He′s always stuffing his gob with fast food .	She 's got such a gob on her – she′s always gossiping about someone or other .	T
14	monopoly	N	1-4	a monopoly on silver	when you have a monopoly you can ask any price you like	T
15	come	V	0-1	come into contact with a terrorist group	Understanding comes from experience	F
18	extend	V	2-1	The facts extend beyond a consideration of her personal assets	She extended her visit by another day	F
19	run	V	2-4	Interest rates run from 5 to 10 percent	Our coach had us running plays for the whole practice .	F
20	make	V	0-0	make clay into bricks	make water into wine	T
21	one	N	3-4	he has the one but will need a two and three to go with it	they had lunch at one	T
22	charge	V	0-3	charge the wagon with hay	Will I get charged for this service ?	F
23	sense	N	1-1	a sense of self	a sense of danger	T
24	presence	N	3-4	he sensed the presence of danger	he tested for the presence of radon	F
25	see	V	0-4	see a movie	This program will be seen all over the world	T
26	multiply	V	3-3	He managed to multiply his profits	He had been multiplying , but it occurred to him he needed to resolve the exponents , first .	T
27	saving	N	3-8	there was a saving of 50 cents	The shift of the supplier gave us a saving of 10 percent .	T
28	float	V	0-2	float the plaster	The balloon floated off into the distance .	F
29	cut	V	0-4	cut class	The employer wants to cut back health benefits	F
30	defensiveness	N	1-11	his defensiveness was manifested in hurt silence	the fear of being sued for malpractice has magnified physicians ' defensiveness	T
31	touch	V	3-5	I would n't touch her with a ten - foot pole	The local Mafia wo n't touch gambling	T
32	origin	N	0-1	origin in sensation	vegetable origins	T
33	tab	N	4-2	files with a red tab will be stored separately	pull the tab to open the can	T
34	repertory	N	3-1	has a large repertory of dialects and characters	the repertory of the supposed feats of mesmerism	T
35	lead	N	9-5	we were just waiting for someone to take the lead	they did n't follow our lead	T
36	side	N	7-6	The patient was bleeding on the right side .	he had a pain in his side	T
37	top	N	7-5	the title should be written at the top of the first page	he got a bright red top and string for his birthday	F
38	life	N	6-1	he wanted to live his own life without interference from others	The life of this milk carton may be thousands of years in this landfill .	F
39	wound	N	7-8	deep in her breast lives the silent wound	he feared that mentioning it might reopen the wound	T
40	loaf	N	1-1	sugar loaf	a loaf of cheese	T
41	eye	N	5-3	he has an artist 's eye	she has an eye for fresh talent	T
42	go	V	5-2	The washing machine wo n't go unless it 's plugged in	her face went red with anger	F
43	end	N	5-4	no one wanted to play end	they rode to the end of the line	F
44	sale	N	6-5	he has just made his first sale	they had to complete the sale before the banks closed	T
